1000,-nan,-nan,-nan
13999,0.142333,0.162693,0.184629
26998,0.105538,0.120635,0.1369
39997,0.0993091,0.113515,0.12882
52996,0.098559,0.112657,0.127847
65995,0.0993578,0.11357,0.128883
78994,0.100826,0.115249,0.130788
91993,0.102386,0.117032,0.132811
104992,0.104578,0.119537,0.135654
117991,0.109303,0.124937,0.141783
130990,0.116229,0.132875,0.150787
143989,0.118633,0.135974,0.154234
156988,0.119623,0.136977,0.155391
169987,0.127706,0.129175,0.149777
182986,0.132581,0.136026,0.15669
195985,0.168003,0.121993,0.149572
208984,0.0664367,0.173477,0.170271
221983,0.0445334,0.224666,0.207115
234982,0.150093,0.194752,0.195786
247981,0.243537,0.154931,0.168616
260980,0.177969,0.22028,0.203925
273979,0.104261,0.294844,0.247264
286978,0.328398,0.180714,0.182876
299977,0.417536,0.152352,0.172654
312976,0.438287,0.147602,0.153745
325975,0.584538,0.072671,0.105782
338974,0.324873,0.261802,0.238521
351973,0.72331,0.0185091,0.0823547
364972,0.265005,0.322444,0.273188
377971,0.752148,0.0234084,0.0892633
390970,0.716972,0.0544668,0.106972
403969,0.122463,0.435836,0.344699
416968,0.780674,0.0273343,0.0936829
429967,0.525563,0.186848,0.218788
442966,0.445901,0.242848,0.242558
455965,0.22282,0.395587,0.303013
468964,0.549386,0.185803,0.201962
481963,0.308224,0.341344,0.291216
494962,0.62636,0.141245,0.178064
507961,0.58312,0.166234,0.203144
520960,0.43805,0.262998,0.251596
533959,0.158942,0.430946,0.371254
546958,0.112618,0.455044,0.397931
559957,0.0842314,0.483883,0.394008
572956,0.537508,0.223086,0.19286
585955,0.0436892,0.517297,0.401484
598954,0.589372,0.173961,0.200815
611953,0.43939,0.263763,0.263639
624952,0.689134,0.0993689,0.181414
637951,0.366974,0.321844,0.277748
650950,0.0818479,0.469531,0.42175
663949,0.663749,0.125906,0.179404
676948,0.709052,0.106986,0.152095
689947,0.273928,0.369299,0.32841
702946,0.698993,0.0980292,0.17673
715945,0.0622329,0.495798,0.414372
728944,0.313971,0.331306,0.328074
741943,0.618124,0.136057,0.222069
754942,0.656739,0.115146,0.203015
767941,0.340193,0.297887,0.337993
780940,0.296619,0.317449,0.362814
793939,0.121498,0.486147,0.368437
806938,0.110814,0.443542,0.422806
819937,0.122091,0.417132,0.439127
832936,0.513475,0.196543,0.267944
845935,0.613485,0.162177,0.202983
858934,0.0397409,0.555534,0.383535
871933,0.5099,0.237395,0.232732
884932,0.540571,0.209021,0.228559
897931,0.435158,0.275976,0.269363
910930,0.596699,0.127117,0.256646
923929,0.158615,0.459371,0.363499
936928,0.101177,0.518281,0.362719
949927,0.197192,0.391789,0.393494
962926,0.312365,0.382789,0.288161
975925,0.726945,0.131522,0.123974
