100,-nan,-nan,-nan
112.202,-nan,-nan,-nan
125.893,-nan,-nan,-nan
141.254,0.0844938,0.0965816,0.109603
158.489,0.0844941,0.0965813,0.109603
177.828,0.0844941,0.0965813,0.109603
199.526,0.084494,0.0965813,0.109603
223.872,0.0844934,0.0965816,0.109603
251.189,0.0844938,0.0965812,0.109603
281.838,0.0844937,0.0965812,0.109603
316.228,0.0844936,0.0965812,0.109603
354.813,0.0844926,0.0965817,0.109603
398.107,0.0844934,0.0965811,0.109603
446.684,0.0844932,0.0965811,0.109603
501.187,0.084493,0.096581,0.109603
562.341,0.0844914,0.0965819,0.109603
630.957,0.0844926,0.0965809,0.109603
707.946,0.0844924,0.0965809,0.109602
794.328,0.0844921,0.0965808,0.109602
891.251,0.0844918,0.0965807,0.109602
1000,0.084493,0.0965796,0.109601
1122.02,0.0846452,0.0964832,0.109545
1258.93,0.0873679,0.0947869,0.108553
1412.54,0.0736573,0.104303,0.114016
1584.89,0.0903245,0.101805,0.111749
1778.28,0.0849197,0.136152,0.128657
1995.26,0.368031,0.015399,0.0523803
2238.72,0.0175561,0.312888,0.218182
2511.89,0.324905,0.192065,0.140326
2818.38,0.726236,0.00269313,0.0234241
3162.28,0.1379,0.423905,0.264049
3548.13,0.785578,0.049617,0.0422712
3981.07,0.639453,0.165647,0.107535
4466.84,0.833951,0.0587886,0.0436244
5011.87,0.153303,0.501445,0.296994
5623.41,0.225453,0.465861,0.270401
6309.57,0.893563,0.0384314,0.0367509
7079.46,0.235608,0.423366,0.315985
7943.28,0.928574,0.0283173,0.0236164
8912.51,0.614353,0.283993,0.087346
10000,0.168063,0.433238,0.388654
11220.2,0.644382,0.235026,0.113732
12589.3,0.25079,0.416622,0.328061
14125.4,0.858865,0.0950069,0.043158
15848.9,0.977726,0.00124424,0.0191169
17782.8,0.977073,0.0210903,0.000616021
19952.6,0.912516,0.0358771,0.0508332
22387.2,0.236053,0.509415,0.25404
25118.9,0.42481,0.43218,0.142697
28183.8,0.300737,0.428369,0.2707
31622.8,0.971591,0.00655338,0.0217328
35481.3,0.245027,0.523559,0.231337
39810.7,0.203125,0.372544,0.42428
44668.4,0.17399,0.401146,0.424833
50118.7,0.543995,0.190409,0.265576
56234.1,0.764383,0.120848,0.114757
63095.7,0.143976,0.646784,0.209232
70794.6,0.634797,0.293948,0.0712507
79432.8,0.174085,0.594085,0.231827
89125.1,0.656923,0.256908,0.0861673
100000,0.444023,0.438418,0.117558
112202,0.158102,0.628725,0.213171
125893,0.315591,0.384081,0.300327
141254,0.694785,0.201927,0.103288
158489,0.696687,0.147546,0.155767
177828,0.983955,0.000525576,0.015519
199526,0.582866,0.264299,0.152835
223872,0.708035,0.234106,0.0578587
251189,0.409134,0.334614,0.256252
281838,0.531963,0.37834,0.0896968
316228,0.897326,0.0670143,0.0356598
354813,0.154394,0.592176,0.25343
398107,0.799404,0.133792,0.0668037
446684,0.59977,0.311191,0.0890392
501187,0.398531,0.266891,0.334578
562341,0.629978,0.252933,0.117089
630957,0.919593,0.024794,0.0556125
707946,0.414993,0.392872,0.192134
794328,0.224895,0.592057,0.183048
891251,0.953115,0.0182798,0.0286051
1e+06,0.157443,0.650794,0.191764
1.12202e+06,0.989541,0.0103172,0.000141917
1.25893e+06,0.206391,0.380251,0.413359
1.41254e+06,0.747994,0.213135,0.0388705
1.58489e+06,0.780702,0.0751444,0.144154
1.77828e+06,0.19909,0.388602,0.412308
1.99526e+06,0.629839,0.216647,0.153514
2.23872e+06,0.992667,0.00232871,0.00500412
2.51189e+06,0.682923,0.120626,0.196451
2.81838e+06,0.285551,0.333821,0.380628
3.16228e+06,0.237652,0.357701,0.404648
3.54813e+06,0.493183,0.293528,0.213289
3.98107e+06,0.856704,0.0870937,0.0562019
4.46684e+06,0.915168,0.039318,0.0455139
5.01187e+06,0.914906,0.0794804,0.00561386
5.62341e+06,0.746916,0.211038,0.0420454
6.30957e+06,0.56586,0.189772,0.244368
7.07946e+06,0.323796,0.501806,0.174398
7.94328e+06,0.274743,0.389812,0.335444
8.91251e+06,0.261555,0.353846,0.384599
