1000,-nan,-nan,-nan
1230.27,0.123181,0.140422,0.15943
1513.56,0.124708,0.142074,0.161323
1862.09,0.173445,0.198123,0.224862
2290.87,-nan,-nan,-nan
2818.38,0.126536,0.14374,0.163298
3467.37,-nan,-nan,-nan
4265.8,0.175627,0.200458,0.227544
5248.07,-nan,-nan,-nan
6456.54,-nan,-nan,-nan
7943.28,0.125513,0.140848,0.160356
9772.37,0.168413,0.191857,0.217854
12022.6,0.119001,0.132454,0.151016
14791.1,0.112083,0.123986,0.141516
18197,0.10663,0.117063,0.133794
22387.2,0.110793,0.125666,0.142802
27542.3,0.101093,0.108701,0.124698
33884.4,0.100654,0.106697,0.122713
41686.9,0.101538,0.105761,0.122024
51286.1,0.103651,0.105672,0.122398
63095.7,0.107581,0.105897,0.123453
77624.7,0.0932558,0.120248,0.13354
95499.3,0.03383,0.200012,0.180895
117490,0.565328,0.0059076,0.0455209
144544,0.152628,0.121728,0.141066
177828,0.841413,0.00533255,0.0292751
218776,0.863831,0.0284451,0.04266
269153,0.856413,0.0469638,0.0576011
331131,0.266256,0.401485,0.304576
407380,0.918516,0.00890344,0.0530315
501187,0.40102,0.302551,0.284876
616595,0.421363,0.244221,0.328558
758578,0.752172,0.0804746,0.164662
933254,0.425372,0.307495,0.265952
1.14815e+06,0.500501,0.137466,0.361479
1.41254e+06,0.875583,0.0755441,0.0486876
1.7378e+06,0.789883,0.0571572,0.1529
2.13796e+06,0.957538,0.0227685,0.0196578
2.63027e+06,0.97492,0.0183407,0.0067256
3.23594e+06,0.983269,0.0115218,0.00520367
3.98107e+06,0.989468,0.00673447,0.00379547
4.89779e+06,0.899649,0.0126972,0.0876534
6.0256e+06,0.921785,0.0217523,0.0564626
7.4131e+06,0.999109,0.000741125,0.000149909
9.12011e+06,0.988388,0.00717293,0.00443943
1.12202e+07,0.922825,0.0198984,0.0572765
1.38038e+07,0.970671,0.00815848,0.0211703
1.69824e+07,0.890076,0.0460628,0.0638616
2.0893e+07,0.997686,0.00135482,0.000958855
2.5704e+07,0.942889,0.0205745,0.0365366
3.16228e+07,0.956012,0.0167687,0.0272188
3.89045e+07,0.835331,0.0677164,0.0969528
4.7863e+07,0.909711,0.0401772,0.0501118
5.88844e+07,0.338534,0.288083,0.373383
7.24436e+07,0.360971,0.280303,0.358726
8.91251e+07,0.5551,0.195063,0.249836
1.09648e+08,0.80713,0.0843369,0.108533
1.34896e+08,0.898683,0.0451445,0.0561723
1.65959e+08,0.967674,0.0142178,0.0181082
2.04174e+08,0.992504,0.00357334,0.00392262
2.51189e+08,0.979817,0.00905939,0.011124
3.0903e+08,0.989411,0.00479371,0.00579501
3.80189e+08,0.999585,0.000194162,0.000220649
4.67735e+08,0.999522,0.000238387,0.000239795
5.7544e+08,0.999815,9.19753e-05,9.30061e-05
7.07946e+08,0.999484,0.000237922,0.000277858
8.70964e+08,0.999807,9.37139e-05,9.92009e-05
1.07152e+09,0.999757,0.000114243,0.000128379
1.31826e+09,0.999696,0.000134037,0.000170294
1.62181e+09,0.999977,9.97817e-06,1.25973e-05
1.99526e+09,0.999966,1.65964e-05,1.75971e-05
2.45471e+09,0.999905,4.25044e-05,5.21692e-05
3.01995e+09,0.999945,2.4759e-05,2.97818e-05
3.71535e+09,0.999959,1.84235e-05,2.26554e-05
4.57088e+09,0.999974,1.18283e-05,1.41539e-05
5.62341e+09,0.999981,8.55715e-06,1.01765e-05
6.91831e+09,0.999999,6.98323e-07,6.906e-07
8.51138e+09,0.999998,8.95113e-07,1.13752e-06
1.04713e+10,0.999996,1.7762e-06,2.20798e-06
1.28825e+10,1,8.2186e-08,6.61159e-08
1.58489e+10,0.999998,8.65955e-07,1.08739e-06
1.94984e+10,0.999999,3.95291e-07,4.56334e-07
2.39883e+10,0.999999,2.4276e-07,2.75928e-07
2.95121e+10,0.999999,2.33098e-07,2.82728e-07
3.63078e+10,1,1.95337e-07,2.41828e-07
4.46684e+10,1,1.07678e-07,1.35756e-07
5.49541e+10,1,1.05821e-08,1.03527e-08
6.76083e+10,1,1.40911e-08,1.49871e-08
8.31764e+10,1,1.91066e-08,2.14584e-08
1.02329e+11,1,1.91598e-08,2.19557e-08
1.25893e+11,1,1.50852e-08,1.80588e-08
1.54882e+11,1,3.36924e-09,3.6276e-09
1.90546e+11,1,2.88388e-10,2.8533e-10
2.34423e+11,1,4.35402e-09,5.06728e-09
2.88403e+11,1,2.39804e-09,2.79678e-09
3.54813e+11,1,3.11791e-10,3.35956e-10
4.36516e+11,1,1.53451e-10,1.65961e-10
5.37032e+11,1,2.49035e-10,2.76485e-10
6.60693e+11,1,4.04543e-10,4.56897e-10
8.12831e+11,1,3.67759e-10,4.2081e-10
