1000,-nan,-nan,-nan
1258.93,0.169581,0.193839,0.219975
1584.89,-nan,-nan,-nan
1995.26,-nan,-nan,-nan
2511.89,0.178393,0.203912,0.231405
3162.28,-nan,-nan,-nan
3981.07,0.179248,0.204889,0.232514
5011.87,-nan,-nan,-nan
6309.57,-nan,-nan,-nan
7943.28,0.181423,0.207376,0.235336
10000,0.165691,0.189392,0.214928
12589.3,0.144714,0.165415,0.187718
15848.9,0.126674,0.144794,0.164317
19952.6,0.113864,0.130152,0.1477
25118.9,0.105671,0.120787,0.137072
31622.8,0.100902,0.115336,0.130887
39810.7,0.0985472,0.112644,0.127832
50118.7,0.0980569,0.112083,0.127196
63095.7,0.0989527,0.113107,0.128358
79432.8,0.101441,0.115951,0.131585
100000,0.103998,0.118874,0.134901
125893,0.107257,0.1226,0.13913
158489,0.119566,0.133085,0.151722
199526,0.170412,0.12844,0.155248
251189,0.0330346,0.297471,0.252749
316228,0.0402991,0.410944,0.316844
398107,0.693094,0.0727162,0.129662
501187,0.399507,0.283835,0.265695
630957,0.531318,0.203043,0.23438
794328,0.452209,0.271803,0.252456
1e+06,0.508414,0.158863,0.317034
1.25893e+06,0.508996,0.241407,0.24122
1.58489e+06,0.13754,0.349585,0.509126
1.99526e+06,0.410624,0.278007,0.309784
2.51189e+06,0.444798,0.303664,0.250894
3.16228e+06,0.21652,0.455118,0.328096
3.98107e+06,0.214369,0.352063,0.433462
5.01187e+06,0.268946,0.228549,0.502462
6.30957e+06,0.315443,0.415085,0.269454
7.94328e+06,0.27541,0.239814,0.484768
1e+07,0.274377,0.314603,0.411017
1.25893e+07,0.269809,0.194213,0.535977
1.58489e+07,0.369389,0.401933,0.228677
1.99526e+07,0.233125,0.337764,0.429111
2.51189e+07,0.315644,0.50592,0.178436
3.16228e+07,0.212602,0.143751,0.643647
3.98107e+07,0.311111,0.541502,0.147387
5.01187e+07,0.174653,0.0769472,0.7484
6.30957e+07,0.12895,0.305205,0.565846
7.94328e+07,0.072891,0.39602,0.531089
1e+08,0.0587508,0.560147,0.381102
1.25893e+08,0.0148371,0.388104,0.597058
1.58489e+08,0.0103616,0.362848,0.626791
1.99526e+08,0.0162987,0.390117,0.593585
2.51189e+08,0.0423995,0.501666,0.455934
3.16228e+08,0.0342904,0.481762,0.483948
3.98107e+08,0.0329028,0.467737,0.49936
5.01187e+08,0.0254452,0.44376,0.530795
6.30957e+08,0.0203442,0.42223,0.557426
7.94328e+08,0.0222616,0.431722,0.546017
1e+09,0.0221782,0.430634,0.547187
1.25893e+09,0.0218913,0.430401,0.547707
1.58489e+09,0.0192087,0.418863,0.561928
1.99526e+09,0.0211505,0.427778,0.551071
2.51189e+09,0.0207382,0.425794,0.553468
3.16228e+09,0.0219439,0.43385,0.544206
3.98107e+09,0.0206786,0.424372,0.55495
5.01187e+09,0.020986,0.421568,0.557446
6.30957e+09,0.0196466,0.415813,0.564541
7.94328e+09,0.0193518,0.406423,0.574225
1e+10,0.0253876,0.394258,0.580354
1.25893e+10,0.0610641,0.453151,0.485785
1.58489e+10,0.0434054,0.459622,0.496972
1.99526e+10,0.131381,0.350278,0.518341
2.51189e+10,0.0493101,0.401081,0.549609
3.16228e+10,0.290381,0.296001,0.413618
3.98107e+10,0.398926,0.265271,0.335802
5.01187e+10,0.228571,0.324883,0.446546
6.30957e+10,0.36718,0.290028,0.342792
7.94328e+10,0.374786,0.256819,0.368395
1e+11,0.690752,0.127609,0.18164
1.25893e+11,0.545282,0.198198,0.25652
1.58489e+11,0.840594,0.0773669,0.0820388
1.99526e+11,0.785649,0.0858932,0.128458
2.51189e+11,0.70112,0.123297,0.175582
3.16228e+11,0.732808,0.114507,0.152684
3.98107e+11,0.809753,0.0836795,0.106567
5.01187e+11,0.878651,0.0543218,0.0670277
6.30957e+11,0.926408,0.0333476,0.0402452
7.94328e+11,0.956253,0.0199958,0.023751
1e+12,0.974115,0.0119068,0.0139796
1.25893e+12,0.984637,0.00709965,0.00826402
1.58489e+12,0.990823,0.00425527,0.00492115
1.99526e+12,0.994475,0.00256736,0.00295452
2.51189e+12,0.99665,0.00155952,0.00178793
3.16228e+12,0.997952,0.000953302,0.00108974
3.98107e+12,0.998745,0.000586002,0.000668358
5.01187e+12,0.999228,0.000361947,0.000412087
6.30957e+12,0.999516,0.000224458,0.000255198
7.94328e+12,0.99972,0.000139663,0.000158618
